Email_id,Sender_Name,Sender_cadre,Sender_dept,Rec_name,Rec_cadre,Rec_dept,Email_subject,Msg_Date,Sentiment,Message_status,Device,Within_work_hrs,Within_workdays,Msg_day,Msg_month,day_name,Week_of_month,exc_type
80,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Sales and Marketing,2024-03-12,neutral,opened,desktop,yes,yes,12,March,Tuesday,3,inter_mail
81,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Meeting Scheduling,2024-03-05,neutral,opened,desktop,yes,yes,5,March,Tuesday,2,inter_mail
82,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,2024-03-28,positive,opened,mobile,yes,yes,28,March,Thursday,5,inter_mail
83,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,2024-03-04,positive,opened,desktop,no,yes,4,March,Monday,2,inter_mail
84,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,2024-03-15,neutral,opened,desktop,no,yes,15,March,Friday,3,inter_mail
85,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Meeting Scheduling,2024-03-05,neutral,opened,desktop,yes,yes,5,March,Tuesday,2,inter_mail
86,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Operational Issues,2024-03-28,neutral,unopened,desktop,yes,yes,28,March,Thursday,5,inter_mail
87,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,2024-03-05,neutral,opened,desktop,yes,yes,5,March,Tuesday,2,inter_mail
88,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,2024-03-19,neutral,opened,desktop,yes,yes,19,March,Tuesday,4,inter_mail
89,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Training and Development,2024-03-28,negative,opened,mobile,yes,yes,28,March,Thursday,5,inter_mail
90,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,2024-03-26,positive,opened,desktop,yes,yes,26,March,Tuesday,5,inter_mail
91,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Sales and Marketing,2024-03-13,positive,opened,desktop,yes,yes,13,March,Wednesday,3,inter_mail
92,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,HR related topics,2024-03-18,neutral,opened,desktop,yes,yes,18,March,Monday,4,inter_mail
93,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,2024-03-04,positive,opened,desktop,yes,yes,4,March,Monday,2,inter_mail
94,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,2024-03-12,neutral,unopened,desktop,yes,yes,12,March,Tuesday,3,inter_mail
95,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Meeting Scheduling,2024-03-05,neutral,opened,desktop,no,yes,5,March,Tuesday,2,inter_mail
96,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Sales and Marketing,2024-03-25,positive,opened,desktop,yes,yes,25,March,Monday,5,inter_mail
97,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,2024-03-07,positive,opened,desktop,yes,yes,7,March,Thursday,2,inter_mail
98,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Project Updates,2024-03-25,neutral,opened,desktop,yes,yes,25,March,Monday,5,inter_mail
99,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Operational Issues,2024-03-29,positive,opened,desktop,yes,yes,29,March,Friday,5,inter_mail
100,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Project Updates,2024-03-21,negative,opened,desktop,yes,yes,21,March,Thursday,4,inter_mail
101,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,2024-03-15,positive,opened,mobile,no,yes,15,March,Friday,3,inter_mail
102,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Meeting Scheduling,2024-03-28,neutral,opened,mobile,yes,yes,28,March,Thursday,5,inter_mail
103,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Project Updates,2024-03-11,neutral,opened,mobile,yes,yes,11,March,Monday,3,inter_mail
104,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Sales and Marketing,2024-03-29,neutral,unopened,desktop,yes,yes,29,March,Friday,5,inter_mail
105,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Meeting Scheduling,2024-03-04,neutral,opened,mobile,yes,yes,4,March,Monday,2,inter_mail
106,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Sales and Marketing,2024-03-12,positive,unopened,desktop,yes,yes,12,March,Tuesday,3,inter_mail
107,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Project Updates,2024-03-12,positive,opened,desktop,yes,yes,12,March,Tuesday,3,inter_mail
108,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Meeting Scheduling,2024-03-14,neutral,opened,desktop,no,yes,14,March,Thursday,3,inter_mail
109,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,2024-03-15,neutral,opened,desktop,yes,yes,15,March,Friday,3,inter_mail
110,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Security Alerts,2024-03-18,neutral,opened,desktop,yes,yes,18,March,Monday,4,inter_mail
111,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Sales and Marketing,2024-03-29,negative,opened,desktop,yes,yes,29,March,Friday,5,inter_mail
112,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,2024-03-22,neutral,opened,desktop,no,yes,22,March,Friday,4,inter_mail
113,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Meeting Scheduling,2024-03-12,neutral,opened,desktop,yes,yes,12,March,Tuesday,3,inter_mail
114,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Meeting Scheduling,2024-03-04,neutral,opened,desktop,yes,yes,4,March,Monday,2,inter_mail
115,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Operational Issues,2024-03-15,positive,opened,desktop,yes,yes,15,March,Friday,3,inter_mail
116,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,2024-03-04,positive,opened,desktop,yes,yes,4,March,Monday,2,inter_mail
117,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Project Updates,2024-03-28,neutral,unopened,desktop,yes,yes,28,March,Thursday,5,inter_mail
118,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,2024-03-11,neutral,opened,desktop,yes,yes,11,March,Monday,3,inter_mail
119,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Project Updates,2024-03-15,positive,opened,desktop,yes,yes,15,March,Friday,3,inter_mail
185,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,2024-03-26,positive,opened,desktop,yes,yes,26,March,Tuesday,5,inter_mail
186,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Meeting Scheduling,2024-03-25,neutral,opened,desktop,yes,yes,25,March,Monday,5,inter_mail
187,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Project Updates,2024-03-19,positive,opened,desktop,yes,yes,19,March,Tuesday,4,inter_mail
188,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,2024-03-04,positive,opened,desktop,yes,yes,4,March,Monday,2,inter_mail
189,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,2024-03-08,neutral,opened,desktop,yes,yes,8,March,Friday,2,inter_mail
190,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Vendor Relations,2024-03-07,neutral,opened,desktop,yes,yes,7,March,Thursday,2,inter_mail
191,Constancia Di Bartolomeo,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,Meeting Scheduling,2024-03-15,positive,opened,desktop,yes,yes,15,March,Friday,3,inter_mail
192,Constancia Di Bartolomeo,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,Internal Policies and Procedures,2024-03-14,positive,opened,desktop,no,yes,14,March,Thursday,3,inter_mail
193,Constancia Di Bartolomeo,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,Project Updates,2024-03-17,positive,opened,mobile,no,no,17,March,Sunday,3,inter_mail
194,Constancia Di Bartolomeo,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,HR related topics,2024-03-27,negative,opened,desktop,yes,yes,27,March,Wednesday,5,inter_mail
195,Constancia Di Bartolomeo,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,HR related topics,2024-03-21,neutral,opened,desktop,yes,yes,21,March,Thursday,4,inter_mail
196,Constancia Di Bartolomeo,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,Operational Issues,2024-03-17,positive,opened,desktop,no,no,17,March,Sunday,3,inter_mail
197,Constancia Di Bartolomeo,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Meeting Scheduling,2024-03-29,neutral,opened,mobile,no,yes,29,March,Friday,5,inter_mail
198,Constancia Di Bartolomeo,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,2024-03-27,neutral,opened,desktop,yes,yes,27,March,Wednesday,5,inter_mail
199,Constancia Di Bartolomeo,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,2024-03-15,neutral,opened,desktop,yes,yes,15,March,Friday,3,inter_mail
200,Constancia Di Bartolomeo,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,2024-03-07,neutral,opened,desktop,yes,yes,7,March,Thursday,2,inter_mail
201,Constancia Di Bartolomeo,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Internal Policies and Procedures,2024-03-29,neutral,opened,desktop,no,yes,29,March,Friday,5,inter_mail
202,Constancia Di Bartolomeo,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Product Development,2024-03-18,neutral,opened,mobile,yes,yes,18,March,Monday,4,inter_mail
203,Constancia Di Bartolomeo,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Project Updates,2024-03-08,neutral,opened,desktop,no,yes,8,March,Friday,2,inter_mail
204,Constancia Di Bartolomeo,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,2024-03-12,neutral,opened,desktop,yes,yes,12,March,Tuesday,3,inter_mail
205,Constancia Di Bartolomeo,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Legal Matters,2024-03-29,positive,opened,desktop,yes,yes,29,March,Friday,5,inter_mail
206,Constancia Di Bartolomeo,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Vendor Relations,2024-03-15,positive,opened,desktop,yes,yes,15,March,Friday,3,inter_mail
207,Constancia Di Bartolomeo,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Sales and Marketing,2024-03-15,neutral,opened,desktop,yes,yes,15,March,Friday,3,inter_mail
208,Constancia Di Bartolomeo,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Sales and Marketing,2024-03-19,neutral,unopened,desktop,yes,yes,19,March,Tuesday,4,inter_mail
209,Constancia Di Bartolomeo,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Product Development,2024-03-12,negative,opened,desktop,yes,yes,12,March,Tuesday,3,inter_mail
210,Constancia Di Bartolomeo,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Sales and Marketing,2024-03-20,neutral,opened,desktop,yes,yes,20,March,Wednesday,4,inter_mail
211,Constancia Di Bartolomeo,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Operational Issues,2024-03-17,neutral,opened,mobile,no,no,17,March,Sunday,3,inter_mail
212,Constancia Di Bartolomeo,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),HR related topics,2024-03-15,positive,unopened,mobile,yes,yes,15,March,Friday,3,inter_mail
213,Constancia Di Bartolomeo,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Meeting Scheduling,2024-03-20,neutral,opened,desktop,no,yes,20,March,Wednesday,4,inter_mail
214,Constancia Di Bartolomeo,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Technical Support,2024-03-18,neutral,unopened,desktop,yes,yes,18,March,Monday,4,inter_mail
215,Constancia Di Bartolomeo,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Project Updates,2024-03-12,neutral,opened,desktop,yes,yes,12,March,Tuesday,3,inter_mail
216,Constancia Di Bartolomeo,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Meeting Scheduling,2024-03-19,neutral,unopened,desktop,yes,yes,19,March,Tuesday,4,inter_mail
217,Constancia Di Bartolomeo,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Meeting Scheduling,2024-03-22,neutral,opened,desktop,yes,yes,22,March,Friday,4,inter_mail
218,Constancia Di Bartolomeo,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Legal Matters,2024-03-08,positive,opened,desktop,yes,yes,8,March,Friday,2,inter_mail
219,Constancia Di Bartolomeo,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Legal Matters,2024-03-06,neutral,opened,desktop,yes,yes,6,March,Wednesday,2,inter_mail
